"Study_Excluded","Estimate","CI_lb","CI_ub"
"DePoya2024_Bran",-0.463371785553116,-0.709379469297105,-0.217364101809126
"DePoya2024_Starve",-0.487481631770118,-0.729336241890218,-0.245627021650018
"DePoya2024_Tuna",-0.481723413128898,-0.725608269304084,-0.237838556953711
"DePoya2024_Butter",-0.461764716689355,-0.707151915087046,-0.216377518291664
"Dockman2024-Synthetic diet",-0.425422446694208,-0.714283529795837,-0.136561363592579
"Tinker2016_Tuna",-0.542781628172172,-0.758474832680475,-0.327088423663868
"Tinker2016_Butter",-0.530652499554608,-0.761649117978967,-0.299655881130249
"Tinker2016_WheatFlour",-0.470252962511468,-0.740878816305484,-0.199627108717451
"Tinker2016_WhiteFlour",-0.437840460771086,-0.700962754549979,-0.174718166992192
"Tinker2016_Honey",-0.411439053096231,-0.630476715348802,-0.192401390843659
"Cross2024_Protein",-0.484077054907224,-0.738628255141237,-0.229525854673212
"Cross2024_Cellulose",-0.479298663015399,-0.73482206136007,-0.223775264670728
