"Study_ID","Authors","TREATMENT","m2i","sd2i","n2i","m1i","sd1i","n1i","yi","vi"
"DePoya2024_Bran","DePoya2024","Bran",6.829086538,0.213763572,5,6.677644231,0.166055595,5,-0.71424328276315,0.533834097379162
"DePoya2024_Starve","DePoya2024","Starve",6.829086538,0.213763572,5,6.845673077,0.146690959,5,0.0816749445241042,0.500470868551182
"DePoya2024_Tuna","DePoya2024","Tuna",6.829086538,0.213763572,5,6.798076923,0.336573085,5,-0.099286503642488,0.500727469863253
"DePoya2024_Butter","DePoya2024","Butter",6.829086538,0.213763572,5,6.166346154,1.036270969,5,-0.799615620183013,0.573665254784392
"Dockman2024-Synthetic diet","Dockman2024","Synthetic diets",5.136332208,0.377730536,59,4.75,0.79,66,-0.620123009849608,0.0335346695029653
"Tinker2016_Tuna","Tinker2016","tuna",5.13,0.21,20,5.128333298,0.252314409,20,-0.00703742858854504,0.105263831019596
"Tinker2016_Butter","Tinker2016","butter",5.13,0.21,20,5.114166632,0.321881729,20,-0.0571033408423491,0.105313026918622
"Tinker2016_WheatFlour","Tinker2016","Wheatflour",5.13,0.21,20,4.999,0.360376832,20,-0.435333698575885,0.108362904698567
"Tinker2016_WhiteFlour","Tinker2016","white fliur",5.13,0.21,20,4.814166632,0.560730439,20,-0.731125862500103,0.116295164387956
"Tinker2016_Honey","Tinker2016","honey",5.13,0.21,20,4.895833298,0.151102476,20,-1.2545800290016,0.12806438541912
"Cross2024_Protein","Cross2024","Protein",17.74,5.517035637,14,16.07,6.655303749,10,-0.263761789821989,0.196174441879731
"Cross2024_Cellulose","Cross2024","Cellulose",17.74,5.517035637,14,15.44,8.115437056,10,-0.320010539146081,0.203664697401976
